Date,Open,High,Low,Close,Adj Close,Volume
2011-05-11,16.970608,16.970608,16.711061,16.770258,11.202076,18772690
2011-05-12,16.642761,16.843111,16.574459,16.683743,11.144284,18733379
2011-05-13,16.619993,16.683743,16.264828,16.264828,10.864462,11169618
2011-05-16,16.305807,16.465178,16.032602,16.105457,10.758004,10545692
2011-05-17,16.087242,16.164652,15.827698,16.160097,10.794505,14656885
2011-05-18,16.123671,16.210186,15.800377,15.800377,10.554217,12491701
2011-05-19,15.936980,16.028049,15.754843,15.773057,10.535974,9001140
2011-05-20,15.841358,15.900553,15.668328,15.732076,10.508600,9624188
2011-05-23,15.490745,15.868679,15.481638,15.663775,10.462976,10769919
2011-05-24,15.791271,15.991621,15.709309,15.991621,10.681964,9404792
2011-05-25,15.941534,15.982514,15.768503,15.823145,10.569427,9815253
2011-05-26,15.950640,16.333128,15.882339,16.333128,10.910084,19537389
2011-05-27,16.328575,16.492498,16.228399,16.255720,10.858379,14591440
2011-05-30,16.337681,16.346788,16.164652,16.187418,10.812756,3499565
2011-05-31,16.314915,16.383217,16.128223,16.319468,10.900958,16688324
2011-06-01,16.251165,16.374109,16.050816,16.128223,10.776822,16125011
2011-06-02,16.196526,16.283039,15.891446,16.283039,10.880272,17263276
2011-06-03,16.164652,16.483391,16.046263,16.324020,10.907657,14424532
2011-06-06,16.369555,16.369555,15.877786,15.946087,10.655118,12146246
2011-06-07,16.028049,16.269381,15.982514,16.187418,10.816380,14404328
2011-06-08,16.073584,16.223846,15.959747,16.105457,10.761614,12828151
2011-06-09,16.073584,16.146439,15.832251,15.982514,10.679467,12594261
2011-06-10,15.941534,15.977961,15.745736,15.891446,10.618616,11822314
2011-06-13,15.918766,16.018942,15.845912,15.845912,10.588185,8908902
2011-06-14,15.936980,16.069029,15.873232,16.055368,10.728143,10105584
2011-06-15,15.909660,16.283039,15.832251,16.210186,10.831585,23279409
2011-06-16,16.087242,16.283039,15.868679,16.110010,10.764657,13273750
2011-06-17,16.164652,16.191973,15.800377,15.932427,10.645991,13318112
2011-06-20,15.809484,16.050816,15.795824,16.028049,10.709887,10009392
2011-06-21,16.028049,16.050816,15.873232,15.905106,10.627733,8088640
2011-06-22,15.836805,16.228399,15.832251,16.028049,10.709887,16193531
2011-06-24,16.028049,16.046263,15.823145,15.936980,10.649035,10364071
2011-06-27,15.982514,16.046263,15.827698,15.941534,10.652075,9645271
2011-06-28,15.964301,16.415091,15.927873,16.415091,10.968512,16275448
2011-06-29,16.460625,16.606333,16.374109,16.565353,11.068912,13880766
2011-06-30,16.619993,16.651869,16.437857,16.597225,11.090214,14266849
2011-07-01,16.565353,16.711061,16.360449,16.610888,11.102995,11977362
2011-07-04,16.592672,16.797577,16.556246,16.756596,11.200380,4555473
2011-07-05,16.692848,16.756596,16.569906,16.738382,11.188211,9535463
2011-07-06,16.556246,16.720169,16.428749,16.487944,11.020814,9523384
2011-07-07,16.615440,16.638206,16.123671,16.141884,10.789504,15202628
2011-07-08,16.069029,16.069029,15.795824,15.800377,10.561234,13031075
2011-07-11,15.641008,15.745736,15.108257,15.217539,10.171652,22389529
2011-07-12,15.276734,15.381463,14.821391,14.821391,9.906864,25576143
2011-07-13,14.994422,15.244860,14.848712,14.917013,9.970782,26317783
2011-07-14,14.957994,14.957994,14.252214,14.475331,9.675554,37498822
2011-07-15,14.630148,14.730323,14.429797,14.429797,9.645117,30858103
2011-07-18,14.366049,14.479885,14.115611,14.297748,9.556850,18354543
2011-07-19,14.479885,14.707556,14.393370,14.639255,9.785114,19131541
2011-07-20,14.771304,14.880586,14.621041,14.743983,9.855125,15111708
2011-07-21,14.844159,15.140131,14.753090,14.944334,9.989038,17621248
2011-07-22,14.998975,15.172005,14.912460,14.948887,9.992085,17492334
2011-07-25,14.957994,14.957994,14.570953,14.616487,9.769901,7159
2011-07-26,14.611934,14.611934,14.297748,14.379709,9.611637,19562645
2011-07-27,14.320515,14.356942,14.042756,14.097397,9.422934,18263622
2011-07-28,14.174805,14.343282,14.088290,14.138378,9.450325,16128305
2011-07-29,14.070077,14.343282,13.742230,14.343282,9.587286,9247
2011-08-01,14.488992,14.566400,14.083737,14.297748,9.560494,15769235
2011-08-02,14.015436,14.015436,13.323315,13.469025,9.006349,59715514
2011-08-03,13.519112,13.591967,13.009129,13.182159,8.814536,40787337
2011-08-04,12.872526,13.036450,12.339776,12.772351,8.540502,37113836
2011-08-05,12.817885,13.341529,12.348883,12.886187,8.616618,32016572
2011-08-08,12.207727,12.380757,11.451858,11.633995,7.779317,45999020
2011-08-09,11.929968,12.430844,11.729617,12.430844,8.312154,50789043
2011-08-10,12.134872,12.294242,11.793365,12.021036,8.118599,42129184
2011-08-11,12.157639,12.540127,12.066571,12.421738,8.389215,29652856
2011-08-12,12.476379,12.699496,12.321562,12.653962,8.546052,22850281
2011-08-15,12.790565,12.931721,12.758691,12.931721,8.733638,18625987
2011-08-16,12.735924,12.786011,12.499146,12.754137,8.613705,23245588
2011-08-17,12.758691,13.136625,12.704050,13.136625,8.872028,18992085
2011-08-18,12.676729,12.681283,12.248707,12.603874,8.512223,31583931
